open_datetime,open,high,low,close,volume,close_datetime,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1680307200000,28465.36000000,28481.79000000,28448.94000000,28453.55000000,157.35626000,1680307499999,4478911.27734100,4773,63.60837000,1810491.47852190
1680307500000,28453.55000000,28494.24000000,28451.77000000,28493.54000000,100.46294000,1680307799999,2861106.74702080,3905,54.55331000,1553676.05709490
1680307800000,28493.54000000,28500.00000000,28479.16000000,28500.00000000,71.30077000,1680308099999,2031327.01611580,2946,46.54033000,1325911.40854700
1680308100000,28499.99000000,28547.20000000,28499.99000000,28539.98000000,195.85763000,1680308399999,5588254.87466570,4422,124.25112000,3545268.62742820
1680308400000,28539.98000000,28539.99000000,28468.06000000,28480.01000000,168.33502000,1680308699999,4798561.78634330,4256,79.87367000,2277017.65983280
1680308700000,28480.01000000,28508.15000000,28473.08000000,28488.65000000,90.84017000,1680308999999,2588094.37144630,3289,42.17871000,1201632.76275500
1680309000000,28488.66000000,28488.66000000,28459.97000000,28480.00000000,181.28427000,1680309299999,5161581.58343050,3650,83.17548000,2367964.25860970
1680309300000,28480.01000000,28499.82000000,28463.41000000,28494.48000000,63.96212000,1680309599999,1821873.85349550,3145,30.73512000,875370.45050280
1680309600000,28494.48000000,28494.49000000,28411.38000000,28439.81000000,183.88124000,1680309899999,5230395.24062760,6315,67.24055000,1912416.76967380
1680309900000,28439.80000000,28448.15000000,28408.57000000,28418.84000000,149.78479000,1680310199999,4257242.81397840,4680,51.02230000,1450254.15399710
1680310200000,28418.83000000,28432.65000000,28418.83000000,28420.00000000,81.34272000,1680310499999,2312132.61361380,2814,47.55277000,1351611.47103840
1680310500000,28419.99000000,28441.60000000,28419.99000000,28438.27000000,80.40926000,1680310799999,2286302.55627650,2788,47.67240000,1355385.57134620
1680310800000,28438.26000000,28460.03000000,28435.31000000,28447.53000000,74.69616000,1680311099999,2124958.73443730,2574,38.45213000,1093865.58319330
1680311100000,28447.53000000,28448.89000000,28410.35000000,28414.98000000,97.36144000,1680311399999,2767241.30864370,3485,36.97305000,1050835.89609460
1680311400000,28414.98000000,28441.21000000,28413.97000000,28432.83000000,68.05372000,1680311699999,1934588.07952420,2614,31.57748000,897648.95600150
1680311700000,28432.83000000,28449.99000000,28430.00000000,28449.99000000,90.43172000,1680311999999,2572367.91746370,2450,62.13728000,1767545.17936450
1680312000000,28449.99000000,28449.99000000,28437.75000000,28449.89000000,51.84255000,1680312299999,1474653.04665160,2245,22.55279000,641470.98736260
1680312300000,28449.89000000,28449.99000000,28434.70000000,28437.58000000,66.23501000,1680312599999,1884015.68694120,2205,23.18339000,659409.71847950
1680312600000,28437.59000000,28485.98000000,28437.58000000,28485.97000000,116.46403000,1680312899999,3314115.89722540,2856,90.92025000,2587315.83362140
1680312900000,28485.97000000,28486.99000000,28450.01000000,28456.81000000,102.21070000,1680313199999,2909807.77195610,2613,44.69033000,1272142.39956260
1680313200000,28456.80000000,28473.83000000,28453.12000000,28472.33000000,44.03581000,1680313499999,1253450.69629600,1942,22.89330000,651634.07259160
1680313500000,28472.32000000,28550.00000000,28465.97000000,28531.94000000,222.86720000,1680313799999,6353390.11617040,5391,147.12482000,4193850.84036470
1680313800000,28531.94000000,28590.66000000,28529.44000000,28559.77000000,214.59225000,1680314099999,6128438.51620120,5044,105.59302000,3015564.45254340
1680314100000,28559.76000000,28625.61000000,28542.06000000,28610.63000000,309.80220000,1680314399999,8855709.86894800,5668,184.56906000,5276471.28252690
1680314400000,28610.62000000,28819.71000000,28596.39000000,28782.39000000,1161.10314000,1680314699999,33380630.63791160,25715,771.74475000,22184200.90805410
1680314700000,28782.40000000,28782.40000000,28687.61000000,28699.96000000,345.24311000,1680314999999,9920654.79501490,7228,126.04063000,3621604.92904930
1680315000000,28699.96000000,28717.18000000,28657.01000000,28672.39000000,277.86277000,1680315299999,7969275.87294530,5694,144.80387000,4152435.29122390
1680315300000,28672.39000000,28693.06000000,28530.01000000,28592.92000000,355.02597000,1680315599999,10154236.06033910,10449,130.86665000,3743311.80161830
1680315600000,28592.92000000,28635.88000000,28590.01000000,28627.45000000,215.23864000,1680315899999,6159144.70677540,4807,122.36331000,3501419.07891950
1680315900000,28627.46000000,28634.52000000,28591.02000000,28605.21000000,133.74288000,1680316199999,3826256.70132420,3132,58.52259000,1674062.58361450
1680316200000,28605.21000000,28607.85000000,28524.95000000,28537.01000000,159.69509000,1680316499999,4561491.41409820,3638,66.69826000,1905095.70286190
1680316500000,28537.01000000,28550.00000000,28468.17000000,28473.12000000,316.16788000,1680316799999,9016425.26716830,5930,70.38227000,2006998.00932400
1680316800000,28473.12000000,28529.29000000,28467.31000000,28511.29000000,165.32560000,1680317099999,4711321.75663230,4472,89.20368000,2542077.04083290
1680317100000,28511.28000000,28547.66000000,28511.28000000,28534.33000000,116.24922000,1680317399999,3316235.34041570,3585,78.75859000,2246757.02420370
1680317400000,28534.32000000,28581.11000000,28529.65000000,28581.10000000,125.34648000,1680317699999,3579647.14859840,3960,87.10103000,2487488.07613320
1680317700000,28581.10000000,28590.36000000,28564.63000000,28583.36000000,151.34288000,1680317999999,4325499.29357880,3295,49.79692000,1423207.79452770
1680318000000,28583.36000000,28603.78000000,28583.35000000,28584.81000000,82.40678000,1680318299999,2356075.69349600,2672,42.22819000,1207336.07551460
1680318300000,28584.81000000,28584.81000000,28545.64000000,28553.44000000,109.36030000,1680318599999,3123827.85462530,2513,45.33394000,1294952.51672300
1680318600000,28553.44000000,28577.80000000,28528.77000000,28570.82000000,141.82284000,1680318899999,4048773.09701050,3240,57.74659000,1648568.48355900
1680318900000,28570.83000000,28579.49000000,28530.01000000,28557.66000000,155.65439000,1680319199999,4444573.75414550,3422,64.51980000,1841924.48347150
1680319200000,28557.65000000,28560.84000000,28532.80000000,28532.80000000,133.99851000,1680319499999,3825777.91391710,3062,49.46893000,1412410.10037300
1680319500000,28532.81000000,28536.70000000,28521.41000000,28522.99000000,82.23846000,1680319799999,2346335.54607360,2746,41.61730000,1187303.03183620
1680319800000,28523.00000000,28560.28000000,28521.65000000,28549.94000000,74.51579000,1680320099999,2126843.43575590,2423,37.60630000,1073202.09113760
1680320100000,28549.95000000,28558.88000000,28512.25000000,28512.26000000,60.43543000,1680320399999,1724765.20558810,2322,22.79678000,650566.29052710
1680320400000,28512.26000000,28538.86000000,28503.29000000,28528.06000000,62.57526000,1680320699999,1784738.89000450,2124,30.60170000,872668.89803940
1680320700000,28528.06000000,28549.30000000,28528.06000000,28530.59000000,39.64146000,1680320999999,1131397.97654350,1784,16.42735000,468864.11012280
1680321000000,28530.60000000,28561.12000000,28530.59000000,28553.57000000,63.50796000,1680321299999,1813304.64118210,2108,47.24342000,1348887.66648450
1680321300000,28553.57000000,28556.02000000,28530.00000000,28541.10000000,82.20279000,1680321599999,2346372.67248960,2721,38.39589000,1096074.88266390
1680321600000,28541.10000000,28544.32000000,28526.59000000,28544.32000000,130.89744000,1680321899999,3735072.11781190,2702,54.57841000,1557297.03118850
1680321900000,28544.32000000,28585.30000000,28544.31000000,28581.16000000,111.95261000,1680322199999,3198593.93843820,3037,64.18864000,1833993.09442690
1680322200000,28581.15000000,28584.89000000,28565.70000000,28565.71000000,121.10394000,1680322499999,3460374.78960160,2782,59.68929000,1705487.78374100
1680322500000,28565.71000000,28597.93000000,28562.93000000,28567.37000000,127.96697000,1680322799999,3656866.48040950,2408,62.14522000,1775808.81306170
1680322800000,28567.36000000,28569.70000000,28554.95000000,28569.69000000,39.69487000,1680323099999,1133794.77286170,1551,20.34494000,581095.02998980
1680323100000,28569.70000000,28592.77000000,28568.17000000,28592.77000000,100.54235000,1680323399999,2873623.94456730,2291,42.45187000,1213321.77112490
1680323400000,28592.76000000,28594.78000000,28582.69000000,28582.70000000,45.19536000,1680323699999,1292002.81403120,1735,26.15626000,747716.83596160
1680323700000,28582.70000000,28592.84000000,28581.04000000,28592.83000000,42.87096000,1680323999999,1225654.95692060,1522,23.83320000,681385.56087080
1680324000000,28592.83000000,28614.45000000,28590.57000000,28590.58000000,92.34647000,1680324299999,2641507.58774150,2437,57.73317000,1651458.31297050
1680324300000,28590.57000000,28625.10000000,28590.57000000,28611.97000000,100.69563000,1680324599999,2880480.45904390,2257,71.35334000,2040874.30661430
1680324600000,28611.98000000,28621.14000000,28581.00000000,28581.01000000,71.95933000,1680324899999,2058285.88366200,2269,34.18928000,977906.35014030
1680324900000,28581.01000000,28586.95000000,28570.00000000,28580.00000000,132.31491000,1680325199999,3781267.78668170,2591,79.92104000,2283911.70790350
1680325200000,28580.01000000,28588.65000000,28565.02000000,28573.00000000,79.17198000,1680325499999,2262769.25206590,2067,32.10786000,917623.60737420
1680325500000,28573.01000000,28589.13000000,28557.99000000,28557.99000000,54.07565000,1680325799999,1545110.69456500,1907,18.20871000,520297.10017620
1680325800000,28558.00000000,28573.18000000,28555.00000000,28563.51000000,53.20943000,1680326099999,1519913.72877080,2157,26.02097000,743215.49393830
1680326100000,28563.50000000,28565.08000000,28546.80000000,28564.49000000,68.77857000,1680326399999,1964005.61791980,2335,23.94079000,683651.92577430
1680326400000,28564.49000000,28573.18000000,28551.12000000,28551.13000000,68.64619000,1680326699999,1960651.60720960,1876,31.29686000,893912.87481440
1680326700000,28551.12000000,28564.64000000,28532.62000000,28532.62000000,103.82128000,1680326999999,2964122.03406950,2918,36.16977000,1032681.15141160
1680327000000,28532.62000000,28542.16000000,28530.59000000,28539.39000000,87.83141000,1680327299999,2506319.47565720,2742,42.27696000,1206398.54003690
1680327300000,28539.38000000,28554.12000000,28538.71000000,28539.55000000,72.38896000,1680327599999,2066238.86993630,1665,49.27121000,1406349.19541670
1680327600000,28539.55000000,28557.98000000,28539.54000000,28556.23000000,54.75168000,1680327899999,1563294.10472610,2128,37.15950000,1060972.52078100
1680327900000,28556.23000000,28564.73000000,28555.20000000,28564.38000000,54.29600000,1680328199999,1550822.01087030,1534,25.68915000,733735.29239250
1680328200000,28564.39000000,28568.09000000,28559.06000000,28564.49000000,49.03190000,1680328499999,1400532.04312690,1449,28.58520000,816507.54256340
1680328500000,28564.49000000,28571.08000000,28564.49000000,28571.08000000,62.34246000,1680328799999,1780941.66738310,1277,50.51672000,1443115.97411310
1680328800000,28571.08000000,28572.93000000,28538.43000000,28544.36000000,123.53080000,1680329099999,3527549.67870570,2608,44.90564000,1282263.13126750
1680329100000,28544.35000000,28544.36000000,28514.47000000,28524.13000000,203.71706000,1680329399999,5812303.49894290,2993,99.00217000,2824337.24665680
1680329400000,28524.13000000,28533.30000000,28519.67000000,28524.86000000,62.28349000,1680329699999,1776745.69614530,2003,25.25203000,720344.66951790
1680329700000,28524.85000000,28525.01000000,28480.00000000,28487.33000000,201.95200000,1680329999999,5755923.97975790,4477,79.97802000,2279699.85403430
1680330000000,28487.33000000,28488.68000000,28442.01000000,28452.81000000,224.76887000,1680330299999,6398277.48394570,6101,83.43513000,2374861.41525000
1680330300000,28452.80000000,28473.66000000,28421.55000000,28428.82000000,347.36182000,1680330599999,9880180.43858960,6908,160.94545000,4577431.27631910
1680330600000,28428.81000000,28428.82000000,28353.78000000,28420.83000000,557.27170000,1680330899999,15824249.71140290,12059,196.03893000,5565807.44420360
1680330900000,28420.83000000,28456.55000000,28420.83000000,28456.24000000,161.11902000,1680331199999,4582490.61942800,4194,85.66254000,2436179.34763330
1680331200000,28456.25000000,28488.44000000,28449.06000000,28479.91000000,134.22391000,1680331499999,3821144.80651710,3384,93.68099000,2666994.86175500
1680331500000,28479.91000000,28490.66000000,28465.32000000,28469.84000000,93.71591000,1680331799999,2668640.32210690,2532,46.16668000,1314625.20004960
1680331800000,28469.83000000,28475.99000000,28452.79000000,28475.99000000,102.68965000,1680332099999,2922950.45850750,2537,41.46077000,1180132.98284850
1680332100000,28475.99000000,28482.72000000,28461.66000000,28482.72000000,114.90207000,1680332399999,3271346.15782960,2685,67.35657000,1917575.11608970
1680332400000,28482.71000000,28482.72000000,28452.09000000,28452.10000000,54.14127000,1680332699999,1541188.19146160,1876,14.56230000,414534.95102190
1680332700000,28452.10000000,28463.90000000,28443.17000000,28457.35000000,82.99159000,1680332999999,2361251.67846050,2226,37.19501000,1058204.86893130
1680333000000,28457.35000000,28457.35000000,28393.48000000,28399.99000000,216.01544000,1680333299999,6138164.18817000,3594,120.97874000,3436960.05668590
1680333300000,28400.00000000,28400.00000000,28351.35000000,28355.64000000,295.29708000,1680333599999,8380724.14675410,6112,161.47801000,4583582.71161780
1680333600000,28355.64000000,28411.54000000,28355.64000000,28411.54000000,182.19835000,1680333899999,5171747.19795580,3729,116.12384000,3296355.97087690
1680333900000,28411.54000000,28411.54000000,28363.00000000,28402.05000000,140.18839000,1680334199999,3979825.76739580,3334,63.36037000,1798553.29069090
1680334200000,28402.05000000,28409.24000000,28394.03000000,28409.24000000,78.84919000,1680334499999,2239616.36447090,2213,43.49529000,1235434.35093030
1680334500000,28409.24000000,28424.45000000,28409.23000000,28418.10000000,59.76337000,1680334799999,1698414.44760230,2054,27.19882000,772966.43492890
1680334800000,28418.09000000,28418.10000000,28386.89000000,28408.58000000,69.69564000,1680335099999,1979289.71609950,1997,41.22439000,1170713.37493620
1680335100000,28408.58000000,28425.55000000,28398.72000000,28425.54000000,60.04638000,1680335399999,1705932.82056770,2048,37.79291000,1073750.91661060
1680335400000,28425.54000000,28433.73000000,28421.73000000,28428.99000000,103.19469000,1680335699999,2933667.34202410,2383,65.54330000,1863264.76144590
1680335700000,28429.00000000,28439.15000000,28424.98000000,28424.99000000,77.40217000,1680335999999,2200420.94852490,1982,35.77387000,1017005.95088950
1680336000000,28424.98000000,28424.99000000,28412.45000000,28416.54000000,73.36286000,1680336299999,2084768.21128020,2121,39.10349000,1111167.17545170
1680336300000,28416.54000000,28437.78000000,28416.54000000,28437.77000000,87.60797000,1680336599999,2490062.85305200,2490,59.82012000,1700319.51082750
1680336600000,28437.78000000,28441.50000000,28429.33000000,28438.00000000,75.32677000,1680336899999,2142022.00293990,1864,56.74125000,1613509.61227730
1680336900000,28437.99000000,28457.14000000,28411.95000000,28422.58000000,125.86430000,1680337199999,3579373.72006010,3142,82.56493000,2347808.39850130
1680337200000,28422.58000000,28425.11000000,28389.37000000,28410.47000000,190.83216000,1680337499999,5421341.39201270,4087,89.34786000,2538230.91573590
1680337500000,28410.47000000,28480.97000000,28401.20000000,28474.13000000,168.12594000,1680337799999,4780723.68530050,4096,118.49407000,3369837.59674900
1680337800000,28474.14000000,28474.14000000,28446.64000000,28466.61000000,217.88789000,1680338099999,6201789.68095290,3440,128.50787000,3657583.59708170
1680338100000,28466.62000000,28485.11000000,28452.84000000,28475.22000000,85.40866000,1680338399999,2431292.06081290,2739,56.43826000,1606500.71511760
1680338400000,28475.23000000,28483.15000000,28473.81000000,28480.15000000,58.93408000,1680338699999,1678326.67444990,2070,32.19088000,916706.18979770
1680338700000,28480.15000000,28482.60000000,28458.64000000,28462.05000000,132.48763000,1680338999999,3771988.36917070,2909,42.67649000,1214917.15930340
1680339000000,28462.06000000,28475.00000000,28435.60000000,28445.87000000,143.59952000,1680339299999,4086048.12645390,3049,74.99915000,2134151.96161270
1680339300000,28445.85000000,28449.86000000,28437.89000000,28440.56000000,86.63208000,1680339599999,2464160.68417890,2254,54.80460000,1558872.41859500
1680339600000,28440.56000000,28440.57000000,28424.26000000,28433.58000000,66.91120000,1680339899999,1902486.59517320,2424,37.56024000,1067942.68004850
1680339900000,28433.58000000,28448.09000000,28424.37000000,28424.37000000,87.10234000,1680340199999,2476994.63359240,2761,41.74006000,1186918.36841810
1680340200000,28424.37000000,28432.39000000,28423.30000000,28423.31000000,51.40610000,1680340499999,1461376.37681230,1772,25.25034000,717823.94596090
1680340500000,28423.30000000,28438.88000000,28423.30000000,28438.87000000,35.61734000,1680340799999,1012616.20203720,1747,20.70662000,588671.32093460
1680340800000,28438.88000000,28444.59000000,28438.87000000,28443.26000000,39.40688000,1680341099999,1120789.13862470,1819,20.19794000,574458.79542180
1680341100000,28443.25000000,28446.36000000,28420.54000000,28428.01000000,84.48615000,1680341399999,2401972.17215080,2542,35.98522000,1023141.36314790
1680341400000,28428.00000000,28433.94000000,28421.57000000,28431.18000000,54.63975000,1680341699999,1553258.54158850,2195,32.28154000,917661.55770770
1680341700000,28431.18000000,28462.78000000,28431.18000000,28459.09000000,64.84971000,1680341999999,1845166.40361680,2383,38.85558000,1105491.10054240
1680342000000,28459.09000000,28464.65000000,28452.46000000,28457.86000000,82.99535000,1680342299999,2361822.17632830,2124,36.86379000,1049044.52599940
1680342300000,28457.85000000,28459.11000000,28440.53000000,28440.68000000,60.60700000,1680342599999,1724141.73987190,1479,15.69548000,446461.21553830
1680342600000,28440.67000000,28450.11000000,28426.03000000,28432.75000000,69.77638000,1680342899999,1984114.46593090,2212,41.25915000,1173220.05393110
1680342900000,28432.75000000,28432.75000000,28421.89000000,28425.49000000,57.61501000,1680343199999,1637792.63633600,1816,22.35364000,635426.57475220
1680343200000,28425.49000000,28426.81000000,28418.26000000,28418.26000000,46.30210000,1680343499999,1316083.25489750,1860,17.48027000,496849.42846100
1680343500000,28418.27000000,28430.00000000,28404.39000000,28429.99000000,92.46376000,1680343799999,2627449.54238830,2445,39.83957000,1132089.72476150
1680343800000,28429.99000000,28430.00000000,28394.43000000,28395.31000000,125.00634000,1680344099999,3550501.88166280,2806,53.16690000,1509882.68774340
1680344100000,28395.32000000,28410.55000000,28389.77000000,28407.12000000,75.18193000,1680344399999,2135358.23951460,2490,40.80813000,1159043.62988210
1680344400000,28407.11000000,28419.73000000,28407.07000000,28419.73000000,48.92345000,1680344699999,1390061.30919220,2038,30.07666000,854554.86953280
1680344700000,28419.72000000,28434.40000000,28419.01000000,28427.91000000,60.24913000,1680344999999,1712642.54517420,1877,31.10417000,884163.26292080
1680345000000,28427.91000000,28428.18000000,28422.26000000,28425.70000000,58.31255000,1680345299999,1657522.91897520,1836,32.32503000,918839.90846950
1680345300000,28425.71000000,28434.99000000,28423.15000000,28434.99000000,49.30122000,1680345599999,1401474.50852840,1860,33.39325000,949265.93255200
1680345600000,28434.98000000,28441.15000000,28431.34000000,28441.14000000,47.55167000,1680345899999,1352185.98288160,1930,31.37091000,892066.85271840
1680345900000,28441.14000000,28444.00000000,28429.18000000,28430.91000000,57.06913000,1680346199999,1622966.91292560,1773,32.37382000,920672.61547740
1680346200000,28430.92000000,28463.63000000,28430.91000000,28437.83000000,97.73465000,1680346499999,2780514.93788730,2750,48.22993000,1372016.21296390
1680346500000,28437.82000000,28474.15000000,28437.82000000,28465.32000000,94.59440000,1680346799999,2692112.02200360,3200,67.71917000,1927228.36759980
1680346800000,28465.32000000,28475.97000000,28458.28000000,28458.29000000,116.63294000,1680347099999,3320108.45076820,2945,62.58010000,1781357.03930140
1680347100000,28458.29000000,28458.29000000,28442.68000000,28444.39000000,66.01612000,1680347399999,1878276.16784960,2132,22.50366000,640247.45636620
1680347400000,28444.38000000,28460.93000000,28440.79000000,28441.02000000,61.23212000,1680347699999,1741900.60526200,2379,31.69507000,901676.94265900
1680347700000,28441.01000000,28446.50000000,28434.04000000,28446.50000000,110.88028000,1680347999999,3153048.95278680,2280,68.78778000,1956054.87839170
1680348000000,28446.50000000,28448.52000000,28419.74000000,28424.58000000,69.54033000,1680348299999,1977227.16992730,2140,36.85649000,1047797.92254420
1680348300000,28424.59000000,28437.92000000,28424.58000000,28432.01000000,108.83556000,1680348599999,3094458.53170800,1873,30.05460000,854538.84499890
1680348600000,28432.01000000,28442.91000000,28432.00000000,28442.90000000,37.93593000,1680348899999,1078771.85806210,1610,19.57354000,556608.93248520
1680348900000,28442.90000000,28443.68000000,28414.66000000,28415.58000000,81.34626000,1680349199999,2311952.45852880,2582,32.42935000,921614.42919580
1680349200000,28415.58000000,28420.00000000,28414.52000000,28417.32000000,57.37589000,1680349499999,1630491.63662670,1889,31.11830000,884298.50886180
1680349500000,28417.31000000,28420.00000000,28382.80000000,28389.98000000,131.59296000,1680349799999,3737840.33146990,3172,45.35851000,1288469.30425410
1680349800000,28389.98000000,28399.10000000,28379.95000000,28393.76000000,98.72587000,1680350099999,2802868.07191090,2779,47.70659000,1354443.33331890
1680350100000,28393.76000000,28393.76000000,28360.65000000,28372.85000000,139.82104000,1680350399999,3966890.24131870,3636,61.69862000,1750392.03050710
1680350400000,28372.84000000,28383.28000000,28370.00000000,28375.35000000,147.00985000,1680350699999,4171498.92475000,2995,81.48839000,2312264.98500210
1680350700000,28375.36000000,28378.34000000,28320.35000000,28347.87000000,218.59553000,1680350999999,6196661.30642020,5847,60.00578000,1701153.77850080
1680351000000,28347.86000000,28388.99000000,28339.40000000,28388.99000000,147.94139000,1680351299999,4197026.64137100,3772,86.02614000,2440588.77934710
1680351300000,28388.99000000,28403.47000000,28384.38000000,28399.41000000,142.21880000,1680351599999,4038453.40295680,2816,72.27484000,2052263.78196640
1680351600000,28399.42000000,28399.42000000,28383.06000000,28383.59000000,36.96910000,1680351899999,1049453.02818060,1639,22.09755000,627295.19694430
1680351900000,28383.60000000,28420.00000000,28383.59000000,28419.96000000,102.33697000,1680352199999,2906991.88171800,3471,76.99310000,2187053.52917300
1680352200000,28419.96000000,28419.96000000,28394.65000000,28396.20000000,41.34769000,1680352499999,1174325.68277040,1876,20.05770000,569597.85359140
1680352500000,28396.20000000,28396.20000000,28367.19000000,28367.20000000,68.93289000,1680352799999,1956297.30620550,2352,28.09481000,797267.20620790
1680352800000,28367.20000000,28404.94000000,28367.00000000,28404.93000000,51.99999000,1680353099999,1476336.75659680,2078,39.23368000,1113921.67561630
1680353100000,28404.94000000,28404.94000000,28367.26000000,28384.07000000,173.68020000,1680353399999,4929057.04524050,3492,76.83123000,2180375.59754490
1680353400000,28384.06000000,28419.85000000,28384.06000000,28416.13000000,107.59134000,1680353699999,3056296.30302170,2247,60.71707000,1724750.19591600
1680353700000,28416.13000000,28424.05000000,28415.59000000,28422.89000000,92.89019000,1680353999999,2639872.54498270,2165,63.56291000,1806377.87036310
1680354000000,28422.88000000,28426.05000000,28416.61000000,28424.13000000,44.35179000,1680354299999,1260460.43430610,2039,24.73154000,702854.59368440
1680354300000,28424.13000000,28442.45000000,28424.13000000,28442.44000000,92.05246000,1680354599999,2617402.87827840,2159,63.91437000,1817300.62876750
1680354600000,28442.45000000,28442.45000000,28409.77000000,28412.55000000,91.99408000,1680354899999,2615350.66751360,2312,48.52002000,1379358.06770130
1680354900000,28412.54000000,28420.55000000,28382.93000000,28386.99000000,82.56351000,1680355199999,2344914.21682990,2685,37.37280000,1061440.03945240
1680355200000,28387.00000000,28413.06000000,28377.63000000,28413.06000000,96.80245000,1680355499999,2748561.39598310,3165,68.36384000,1941119.18968890
1680355500000,28413.05000000,28424.37000000,28413.05000000,28424.35000000,77.30568000,1680355799999,2197103.32622810,1968,48.12935000,1367867.14590610
1680355800000,28424.35000000,28429.86000000,28408.05000000,28408.06000000,38.01478000,1680356099999,1080463.39033790,1865,16.69566000,474523.42899420
1680356100000,28408.06000000,28408.06000000,28395.19000000,28400.81000000,69.14104000,1680356399999,1963666.57503260,2544,33.32458000,946411.02743420
1680356400000,28400.80000000,28411.01000000,28387.74000000,28411.01000000,63.78367000,1680356699999,1811415.63493170,2100,43.07113000,1223230.19526400
1680356700000,28411.00000000,28417.91000000,28411.00000000,28417.77000000,37.05965000,1680356999999,1053106.28688500,1477,19.53186000,555030.12493350
1680357000000,28417.76000000,28473.90000000,28399.40000000,28399.41000000,173.35519000,1680357299999,4929288.90543810,3452,120.87422000,3437748.99209240
1680357300000,28399.41000000,28418.07000000,28392.42000000,28417.80000000,68.20083000,1680357599999,1937475.85839480,2212,36.56400000,1038707.15952610
1680357600000,28417.81000000,28420.75000000,28416.26000000,28419.97000000,40.46996000,1680357899999,1150084.06687780,1645,20.79132000,590848.29591980
1680357900000,28419.97000000,28420.88000000,28403.08000000,28407.91000000,51.76765000,1680358199999,1470736.65914100,2361,20.00575000,568336.90814560
1680358200000,28407.90000000,28411.96000000,28396.44000000,28396.45000000,41.39778000,1680358499999,1175808.20531250,1799,15.14052000,430031.74380450
1680358500000,28396.45000000,28402.62000000,28352.01000000,28352.45000000,112.86505000,1680358799999,3202307.29674520,3882,43.65168000,1238467.29203010
1680358800000,28352.48000000,28375.19000000,28338.00000000,28346.52000000,211.51267000,1680359099999,5997433.29940810,4850,80.43588000,2280789.70332940
1680359100000,28346.52000000,28369.98000000,28345.69000000,28365.34000000,100.20085000,1680359399999,2841266.56072630,2587,52.16964000,1479281.70598870
1680359400000,28365.33000000,28374.36000000,28364.47000000,28370.33000000,51.56140000,1680359699999,1462761.89765620,2044,26.64583000,755921.77947330
1680359700000,28370.33000000,28370.55000000,28337.31000000,28350.01000000,71.95245000,1680359999999,2040171.97696290,2499,39.17955000,1110851.28841320
1680360000000,28350.00000000,28362.35000000,28292.32000000,28352.40000000,264.04394000,1680360299999,7478822.61823190,7089,98.17500000,2780831.11852610
